,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,780,Dcover Jcover-fuzz,time(Seconds):,1411,Jcover test verification on,time(Seconds):,725
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.literal,BooleanLiteral,,,,0,6,1.0,0,6,1.0,4,2,0.3333333333333333
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.literal,NullLiteral,,,,0,6,1.0,0,6,1.0,4,2,0.3333333333333333
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.literal,DateTimeLiteral,,,,11,13,0.5416666666666666,6,18,0.75,19,5,0.20833333333333334
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.literal,ListLiteral,,,,21,11,0.34375,21,11,0.34375,26,6,0.1875
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.literal,Literal,,,,0,2,1.0,0,2,1.0,0,2,1.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.literal,NumericLiteral,,,,0,6,1.0,0,6,1.0,4,2,0.3333333333333333
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.literal,StringLiteral,,,,0,6,1.0,0,6,1.0,4,2,0.3333333333333333
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.literal,SimpleLiteral,,,,0,4,1.0,0,4,1.0,0,4,1.0
jDMN: Core,com.gs.dmn.feel.interpreter,MethodUtils,,,,33,0,0.0,33,0,0.0,25,8,0.24242424242424243
jDMN: Core,com.gs.dmn.feel.interpreter,JavaFunctionInfo,,,,41,8,0.16326530612244897,41,8,0.16326530612244897,37,12,0.24489795918367346
jDMN: Core,com.gs.dmn.feel.interpreter,FEELInterpreterImpl,,,,0,2,1.0,0,2,1.0,2,0,0.0
jDMN: Core,com.gs.dmn.feel.interpreter,FEELInterpreterVisitor,,,,618,9,0.014354066985645933,618,9,0.014354066985645933,627,0,0.0
jDMN: Core,com.gs.dmn.feel.interpreter,MemberUtils,,,,34,0,0.0,34,0,0.0,34,0,0.0
jDMN: Core,com.gs.dmn.feel.interpreter,AbstractFEELInterpreter,,,,23,4,0.14814814814814814,23,4,0.14814814814814814,27,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.numeric,DefaultNumericType,,,,94,5,0.050505050505050504,94,5,0.050505050505050504,25,74,0.7474747474747475
jDMN: Core,com.gs.dmn.feel.lib.type.numeric,DoubleNumericType,,,,81,3,0.03571428571428571,81,3,0.03571428571428571,24,60,0.7142857142857143
jDMN: Core,org.omg.spec.dmn._20151101.model,TContextEntry,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TBuiltinAggregator,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,1,6,0.8571428571428571
jDMN: Core,org.omg.spec.dmn._20151101.model,TContext,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TDecision,n/a,n/a,Could not find file,40,0,0.0,40,0,0.0,0,40,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TInformationItem,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TImport,n/a,n/a,Could not find file,10,0,0.0,10,0,0.0,0,10,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TAssociation,n/a,n/a,Could not find file,12,0,0.0,12,0,0.0,1,11,0.9166666666666666
jDMN: Core,org.omg.spec.dmn._20151101.model,TFunctionDefinition,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TDecisionTable,n/a,n/a,Could not find file,26,0,0.0,26,0,0.0,2,24,0.9230769230769231
jDMN: Core,org.omg.spec.dmn._20151101.model,TLiteralExpression,n/a,n/a,Could not find file,10,0,0.0,10,0,0.0,0,10,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TNamedElement,n/a,n/a,Could not find file,2,2,0.5,2,2,0.5,0,4,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TBinding,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TArtifact,n/a,n/a,Could not find file,1,0,0.0,1,0,0.0,0,1,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TDMNElement,n/a,n/a,Could not find file,8,7,0.4666666666666667,8,7,0.4666666666666667,0,15,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TBusinessKnowledgeModel,n/a,n/a,Could not find file,13,0,0.0,13,0,0.0,0,13,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,ObjectFactory,n/a,n/a,Could not find file,95,0,0.0,95,0,0.0,0,95,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TTextAnnotation,n/a,n/a,Could not find file,9,0,0.0,9,0,0.0,0,9,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TElementCollection,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TRelation,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TDMNElementReference,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TOrganizationUnit,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TUnaryTests,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TDecisionRule,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TDRGElement,n/a,n/a,Could not find file,1,0,0.0,1,0,0.0,0,1,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TKnowledgeRequirement,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TDecisionTableOrientation,n/a,n/a,Could not find file,12,0,0.0,12,0,0.0,4,8,0.6666666666666666
jDMN: Core,org.omg.spec.dmn._20151101.model,TAssociationDirection,n/a,n/a,Could not find file,12,0,0.0,12,0,0.0,4,8,0.6666666666666666
jDMN: Core,org.omg.spec.dmn._20151101.model,TInvocation,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TInputClause,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,THitPolicy,n/a,n/a,Could not find file,16,0,0.0,16,0,0.0,4,12,0.75
jDMN: Core,org.omg.spec.dmn._20151101.model,TDecisionService,n/a,n/a,Could not find file,13,0,0.0,13,0,0.0,0,13,1.0
